"","SantaCruz_N","SantaCruz_S","SantaCruz_E","SantaCruz_W","SantaFe_N","SantaFe_S","SantaFe_E","SantaFe_W","Floreana_N","Floreana_S","Floreana_E","Floreana_W","Espanola_N","Espanola_S","Espanola_E","Espanola_W","SanCristobal_N","SanCristobal_S","SanCristobal_E","SanCristobal_W","Pinzon","Santiago_N","Santiago_S","Santiago_E","Santiago_W","Genovesa","Marchena_N","Marchena_S","Marchena_E","Marchena_W","Pinta_N","Pinta_S","Pinta_E","Pinta_W","Isabela_N","Isabela_S","Isabela_E1","Isabela_E2","Isabela_E3","Isabela_W1","Isabela_W2","Isabela_W3","Fernandina_N","Fernandina_S","Fernandina_E","Fernandina_W"
"Floreana_E",1125.31622112418,489.927755759403,541.170189264354,710.500962216759,703.156710315118,530.419649257227,638.51096942847,501.840398172773,75.2014072409675,11.7186297383598,0,283.940763684271,1017.46428639025,1102.30748454109,1193.30208709999,1057.28112161908,1722.64180437189,1238.12677488769,1228.62999533565,1060.44305805994,622.183024099763,1461.97150801311,701.848158198207,1292.32678866681,823.379239840947,1412.72111799853,2004.44177233159,1323.68488420568,1486.18606242693,1479.67654111307,2231.27849792563,1678.14830583791,1919.77381126391,1893.31738336386,1391.45439558509,457.765230546962,485.449822272156,637.0221710803,1008.30454210827,953.41318450505,1518.09924435934,1650.70866657054,1813.13318895785,1252.08314735618,1770.952583934,1284.74562236217
"Floreana_W",1071.19542560789,431.59655676272,507.820671805531,638.740802336519,521.556685481303,567.782840299643,748.837989073702,404.898975221223,213.904844801649,370.33409328846,616.950682095001,0,1213.56969587405,1261.8456043838,1348.77451591458,1171.05005463247,1763.10091288479,1102.54175578736,1221.65493015454,1034.1697316974,664.132071433735,1625.88352928863,801.093109314451,1445.72727719943,1003.84591708906,1751.9840253491,2359.88623018038,1704.69112601111,1909.44267450542,1872.71220516253,2723.49849911064,2044.81771966378,2304.00606424126,2357.43676183728,1767.58122981127,389.518880444945,510.723248859076,800.033148808176,1283.26366347653,831.890951117148,1356.74882428957,1504.67967452465,1663.12885651964,1131.66862292183,1574.35507487433,1157.35424977727
"Espanola_N",1302.53306525332,493.941837617302,489.547778907734,833.37398727922,629.392634937035,312.892662123749,497.736160345029,421.053909664263,210.175743813679,171.215547362319,79.5199115396083,364.935059577365,0,367.438378837931,21.4542309659519,100.828112372927,1728.90485529882,459.940616894665,393.461197776305,789.543768500841,770.681034602867,1265.18600614561,950.045736289949,1286.78843111542,1072.24846747375,1233.10494202358,1523.98017603261,1045.2605932723,1157.03608809864,1152.19545616566,1598.51571047914,1305.0282762862,1484.84640924512,1411.60382447174,1491.53231207374,516.564101269357,617.789351425746,881.507476221692,1244.1210552329,991.936196821669,1560.83321256326,1752.10018838003,1953.24025979905,1335.69868618284,1810.27003237865,1380.51611698668
"Espanola_S",1477.70765858477,582.056240663927,769.0781323546,850.034838514538,923.074109251634,638.25732921957,798.806616530901,716.082516494553,428.784789115777,322.292401757232,306.98175515643,534.588585209656,504.574919420107,0,67.4721798089289,109.017209265786,1975.24624446706,585.100401437704,537.929506458843,972.011706517602,755.158786448011,1589.54993027267,871.081590011838,1540.10351497799,1051.17639170036,1560.91817172385,1852.44877921507,1341.6677145449,1433.74856589204,1476.60987821493,1981.65438417983,1653.66980632526,1814.00657237274,1782.67632260367,1580.06227911534,731.971237234685,739.085321309245,873.894567053157,1219.06720992934,1209.68975519755,1787.51318408319,1969.24777210245,2189.48493123103,1564.42476281834,2034.18811245955,1589.54852896663
"Espanola_E",1414.52812512632,562.611499072428,536.335880404475,991.208950278079,567.52367655167,368.844491517456,412.828090488392,480.2748167369,521.181463134368,509.142978318046,442.217976429656,694.326599654707,19.9091275651418,7.76507850916251,0,217.057697027331,1595.56562889436,404.51027801092,397.235514483436,553.851530937754,907.200618399608,1341.62613913741,1048.90504662747,1391.44298455599,1177.67627766146,1182.8175599057,1519.34690512726,1031.67904961072,1086.57497271851,1150.44576815302,1648.68917721964,1338.48297600017,1465.59685718285,1441.19338546284,1636.01216946912,813.326379299307,825.961568729813,1019.42421306809,1371.14715552401,1356.09651748082,1978.23206313189,2129.41222521678,2326.66614349723,1701.42125046323,2199.53876389609,1763.43998655221
"Espanola_W",1458.14101888012,511.392091442164,649.472395029891,931.779947502069,790.296303024185,501.371836860235,640.174128875954,596.082513369748,405.90509455034,364.451050983322,264.069576155517,597.683747839596,257.347946812363,136.965629496692,349.046632321841,0,1688.6933504866,370.956839877386,478.262736007871,749.785113444838,872.062245027007,1512.67680757298,1034.08524204047,1492.46451790253,1192.66440467568,1392.5034421664,1692.10355953558,1202.93248062595,1298.33393500377,1323.79272737007,1833.20846274389,1506.9775888787,1700.49613265362,1648.82890501671,1670.85248175513,751.743284953493,791.499441461036,1007.66368864803,1358.68371636153,1258.19208450034,1879.24387794792,2075.29670436373,2222.7829301083,1655.06546651246,2138.35271962095,1682.20538612966
"SanCristobal_N",488.576614287729,641.664478603179,264.704360604051,917.559071095564,289.90466476508,323.625287045511,227.219568823047,408.668916167581,467.45545472819,448.96752527014,326.909650302774,621.235563822066,669.672496591023,842.068756603822,855.533511775145,639.770387419731,0,726.590517108802,436.524959425548,312.886621384995,777.490220690403,685.859432578543,672.724148786006,614.597608321841,1043.86220782087,717.609206320328,637.738137234205,573.556691686398,391.205008293773,669.164940937865,716.344374922407,779.11237326614,694.49795066821,868.125649284355,1035.31112147355,850.543532043607,793.293100939097,773.004611600696,1089.46458326412,1455.4705218399,2056.32973209722,1704.17696866921,1990.2706277447,1765.2093535467,2298.52417249221,1766.69978945652
"SanCristobal_S",934.005311280738,474.543054317793,481.365451944851,899.145672086046,338.876114730206,267.620485856107,201.323764777095,424.17278013338,479.913313385693,549.295004641615,474.390118527652,638.028960638668,503.741596275655,775.806463421096,727.645883141697,550.294901215289,1114.75075046036,0,179.035157812018,148.369346921249,814.188639270775,930.278615418583,919.343806492471,914.258516147149,1103.62434507394,969.25133385218,1071.48321694676,701.242928984687,797.49342532225,799.324535119595,1148.61800902953,940.885228822581,1077.48089406891,1011.59541305663,1261.99484559204,649.791940360422,579.639956867393,918.100953631807,1269.19882007302,1231.01076625263,1870.13853872294,1934.79094583423,2186.74633647878,1605.5389476222,2119.65105041768,1625.72546288567
"SanCristobal_E",1124.97951266776,688.291662193157,724.672053405338,1037.95273082602,612.033574652753,444.906341684495,400.705155555182,645.419467110308,454.328401708962,505.614977530448,450.234647550512,620.017108327222,157.571076840596,356.79085834443,280.376567874222,282.608711244026,882.916265547779,110.821226614062,0,327.748230048408,1000.88882797977,1193.04888777058,1147.03858278264,1152.72047045184,1346.28398811611,1027.17499769311,1341.73266512461,1054.24459431703,1107.29892591519,1145.1471157824,1403.92334616607,1267.1193431834,1361.43247967954,1319.40134382992,1531.72609875081,695.772827875502,735.697052842479,1125.44591053781,1534.26107105541,1253.6508554593,1878.35784516026,2026.99133788325,2247.54001671664,1627.02647031882,2106.48688676699,1657.22640795279
"SanCristobal_W",797.968849258155,779.27921672905,523.784354606565,1196.35318054618,489.896349530268,494.400017020836,395.237098349106,665.029265035533,597.819292794227,581.681390636309,490.591819068922,760.666742489687,196.443402857434,393.306391823718,260.520099544486,222.685387644257,706.530614150805,258.54608652593,390.650047852209,0,1108.0540034874,895.091945484303,959.317276473346,856.409669121108,1265.93399212092,836.181897133461,987.745939219187,614.208389009505,686.49358894836,728.507536189968,1016.06670584411,868.717004896514,965.389319337166,922.118260827118,1233.10269939006,898.17842579925,888.025653395716,1055.97165783874,1396.70499313983,1580.7649689751,2252.05566844868,2012.58234618288,2313.93014162053,1901.60949484121,2473.97575978822,1924.3290263417
