"SantaCruz_N","SantaCruz_S","SantaCruz_E","SantaCruz_W","SantaFe_N","SantaFe_S","SantaFe_E","SantaFe_W","Floreana_N","Floreana_S","Floreana_E","Floreana_W","Espanola_N","Espanola_S","Espanola_E","Espanola_W","SanCristobal_N","SanCristobal_S","SanCristobal_E","SanCristobal_W","Pinzon","Santiago_N","Santiago_S","Santiago_E","Santiago_W","Genovesa","Marchena_N","Marchena_S","Marchena_E","Marchena_W","Pinta_N","Pinta_S","Pinta_E","Pinta_W","Isabela_N","Isabela_S","Isabela_E1","Isabela_E2","Isabela_E3","Isabela_W1","Isabela_W2","Isabela_W3","Fernandina_N","Fernandina_S","Fernandina_E","Fernandina_W"
"Pinzon"," 550.764"," 487.371","1242.219"," 219.213","1235.190"," 934.783","1325.337"," 761.694"," 382.975"," 950.851"," 837.639"," 356.442","1486.903","1471.495","1597.936","1395.523","2378.007","1829.577","1746.433","1809.276","   0.000"," 841.053"," 163.060"," 687.345"," 348.937","1386.417","1415.079"," 849.800"," 980.839"," 937.006","1634.250","1113.650","1295.880","1298.366"," 776.899"," 415.099"," 185.566"," 274.212"," 478.926"," 874.774","1351.430","1514.657","1685.138","1197.409","1629.562","1241.755"
"Santiago_N"," 503.077","1481.834"," 585.872"," 981.007"," 666.151","1098.437"," 672.149"," 995.173","1323.444","1920.256","1746.501","1292.693"," 991.291","1615.052","1098.718","1392.352","1009.415","1109.537","1245.075"," 733.593"," 894.930","   0.000"," 731.412"," 214.322"," 368.045","1134.939","1205.216"," 735.523"," 874.481"," 802.428","1232.195"," 911.675","1105.269"," 887.656"," 376.186","1366.031"," 865.625"," 458.321"," 150.101","1522.271","1718.029"," 820.446","1045.068","1435.892","1797.125","1086.520"
"Santiago_S"," 688.386"," 949.504","1642.268"," 464.141","1529.707","1318.921","1510.358","1189.371"," 765.852","1367.795","1236.843"," 747.831","1726.209","1813.288","1841.212","1761.894","2108.767","1942.462","2052.529","1699.305"," 355.168","1461.572","   0.000","1620.460"," 234.003","1576.791","2230.762","1793.290","1681.080","1785.045","1897.017","1409.497","1741.704","1515.735"," 598.401"," 735.963"," 346.427"," 171.238"," 347.618","1487.762","2117.671","1403.444","1762.086","1863.219","2422.136","1786.597"
"Santiago_E"," 309.923","1286.676"," 776.591"," 557.120"," 853.695","1167.798"," 909.281","1036.515","1246.130","1809.164","1597.363","1319.388","1259.568","1732.273","1370.868","1538.263","1571.651","1429.685","1579.813","1091.875"," 590.193","  22.790"," 952.221","   0.000"," 753.819","1352.393","1473.624","1028.018","1168.456","1040.583","1331.908"," 985.691","1289.415"," 968.196"," 462.420","1554.124"," 945.309"," 928.837"," 365.648","1768.994","1953.917"," 991.891","1240.320","1692.779","2075.911","1301.173"
"Santiago_W"," 917.094","1057.104","1786.161"," 556.291","1720.264","1225.216","1640.846","1156.287"," 954.924","1616.390","1413.723"," 939.575","1797.377","2245.945","2023.314","2065.386","2084.304","2048.212","1908.209","2049.671"," 391.260"," 658.275"," 345.262","1806.440","   0.000","2019.339","1360.562","1233.987","1502.270","1021.384","1454.403"," 957.987","1136.936","1086.188"," 368.452"," 988.637"," 474.249"," 147.911"," 349.640","1795.131","2064.967","1006.392","1294.764","1772.505","2102.546","1367.142"
"Genovesa"," 740.517","1419.355"," 926.701"," 763.157"," 839.635","1022.115"," 866.363"," 961.051","1352.956","1752.319","1364.004","1300.496","1177.353","1273.845","1243.445","1204.891"," 984.632","1472.096","1244.838"," 990.983"," 811.988"," 580.517"," 840.852"," 560.695","1092.146","   0.000"," 224.855"," 216.535","  81.721"," 347.675"," 389.461"," 347.710"," 350.763"," 478.179"," 598.883","1466.870"," 933.908"," 999.634"," 723.968","1851.801","2205.843","1167.813","1430.126","1914.427","2397.935","1436.945"
"Marchena_N","1037.381","2060.667","1231.349","1377.519","1229.481","1639.765","1323.565","1577.051","1819.271","2390.361","2076.383","1836.265","1805.525","2021.861","1888.309","1837.430","1077.379","1920.866","1678.378","1444.756","1328.889"," 513.958","1249.223"," 776.961"," 933.498"," 448.928","   0.000"," 371.434"," 252.950"," 118.237"," 132.091"," 112.033","  60.132"," 232.057"," 383.376","1787.151","1257.659"," 850.876"," 502.941","1542.889","1750.070"," 790.164","1058.145","1450.349","1858.619","1078.482"
"Marchena_S","1055.263","2010.082","1037.154","1393.542","1073.570","1279.071","1077.351","1311.127","1785.591","2164.212","2069.012","1864.085","1417.528","1842.015","1487.976","1584.873"," 811.283","1519.959","1569.460","1001.312","1411.487"," 527.862","1336.956"," 785.061"," 920.443"," 695.928"," 454.985","   0.000"," 305.984","  76.671"," 441.644"," 164.939"," 344.337"," 233.569"," 328.528","1934.362","1371.957"," 965.334"," 556.353","1498.787","1786.505"," 793.797","1056.605","1475.904","1884.377","1047.959"
"Marchena_E"," 700.182","1548.667"," 766.109"," 861.831"," 718.385","1033.536"," 765.629"," 893.937","1474.597","1893.782","1590.120","1455.014","1226.095","1372.694","1237.109","1257.010"," 613.754","1573.989","1341.065","1099.679"," 983.187"," 337.385","1120.428"," 465.003"," 885.437"," 750.872","  73.526","  77.520","   0.000"," 292.526"," 230.450"," 206.900"," 202.126"," 334.422"," 533.753","1732.839","1155.945"," 946.970"," 549.343","1790.600","2120.980","1014.528","1294.134","1742.895","2086.440","1334.404"
"Marchena_W"," 808.842","1800.907"," 891.400","1172.603"," 892.229","1297.005"," 926.618","1157.131","1759.911","2149.433","1887.805","1733.073","1314.050","1752.524","1351.153","1387.905"," 841.925","1378.553","1410.219"," 845.815","1215.066"," 435.112","1243.994"," 566.778"," 904.301","1035.182"," 337.126"," 156.847"," 570.537","   0.000"," 330.093","  69.342"," 234.626"," 180.848"," 509.442","1874.582","1220.975"," 839.874"," 612.520","1701.568","1929.967"," 939.839","1233.212","1648.529","1964.241","1257.034"
