"","name_species","El_Hierro","La_Palma","La_Gomera","Tenerife","Gran_Canaria","Fuerteventura","Lanzarote"
"169","Rhamnus glandulosa",NA,1,1,1,1,NA,NA
"170","Rhus coriaria",1,1,1,1,1,NA,NA
"171","Rubia fruticosa",1,1,1,1,1,1,1
"172","Rubia peregrina",1,1,1,1,1,1,1
"173","Rubus bollei",1,1,1,1,1,1,NA
"174","Rubus ulmifolius",1,1,1,1,1,1,NA
"175","Sambucus nigra",NA,1,1,1,1,NA,NA
"176","Smilax aspera",1,1,1,1,1,1,NA
"177","Solanum alatum",1,NA,NA,1,1,NA,1
"178","Solanum lidii",NA,NA,NA,NA,1,NA,NA
"179","Viburnum rigidum",1,1,1,1,1,NA,NA
"180","Visnea mocanera",1,1,1,1,1,1,NA
"181","Withania aristata",1,1,1,1,1,NA,NA
"182","Agrimonia eupatoria",NA,NA,NA,1,NA,NA,NA
"183","Anthoxanthum aristatum",1,1,1,1,1,1,1
"184","Aristida adscensionis",1,1,1,1,1,1,1
"186","Avena canariensis",NA,NA,NA,1,NA,1,1
"187","Avena fatua",1,1,1,1,1,1,1
"188","Bituminaria bituminosa",1,1,1,1,1,1,1
"189","Cynoglossum creticum",NA,1,1,1,1,NA,NA
"190","Cynosurus echinatus",1,1,1,1,1,NA,1
"191","Dactylis smithii",1,1,1,1,1,1,1
"192","Erodium chium",1,1,1,1,1,1,1
"193","Erodium neuradifolium",NA,NA,NA,1,1,1,1
"194","Galium aparine",1,1,1,1,1,1,1
"195","Galium murale",1,1,1,1,1,1,1
"196","Galium scabrum",1,1,1,1,1,1,NA
"198","Hedypnois rhagadioloides",1,1,1,1,1,1,1
"199","Herniaria cinerea",1,NA,1,1,1,1,1
"200","Holcus lanatus",NA,1,1,1,1,NA,NA
"201","Hordeum murinum",1,1,1,1,1,1,1
"202","Lolium canariense",1,1,1,1,1,1,1
"203","Lolium edwardii",1,NA,NA,1,NA,NA,NA
"204","Marrubium vulgare",1,1,1,1,1,1,1
"205","Medicago laciniata",1,1,1,1,1,1,1
"207","Medicago polymorpha",1,1,1,1,1,1,1
"208","Setaria adhaerens",1,1,1,1,1,1,1
"209","Spergularia bocconei",1,1,1,1,1,1,1
"210","Torilis arvensis",1,1,1,1,1,1,1
"211","Tragus racemosus",1,1,1,1,1,1,1
"212","Tribulus terrestris",NA,NA,NA,1,1,1,NA
"213","Trifolium tomentosum",1,1,1,1,1,1,1
"214","Vulpia muralis",1,1,1,NA,1,1,NA
"215","Ammodaucus nanocarpus",NA,NA,NA,1,NA,1,NA
"216","Calendula aegyptiaca",1,NA,1,1,1,1,1
"217","Calendula tripterocarpa",NA,NA,NA,1,1,1,1
"218","Cenchrus ciliaris",1,1,1,1,1,1,1
"219","Drusa glandulosa",1,1,1,1,1,1,1
"220","Rostraria pumila",1,1,NA,1,1,1,1
"221","Rumex bucephalophorus",1,1,1,1,1,1,1
"222","Senecio flavus",NA,NA,NA,1,1,1,1
"223","Stipa capensis",1,1,1,1,1,1,1
"224","Tetrapogon villosus",NA,NA,1,1,1,1,1
"225","Emex spinosa",1,1,1,1,1,1,1
"228","Ammi majus",1,1,1,1,1,1,NA
"230","Argyranthemum tenerifae",NA,NA,NA,1,NA,NA,NA
"241","Reichardia famarae",NA,NA,NA,NA,NA,1,1
"244","Pallenis hierochuntica",NA,NA,NA,NA,NA,1,NA
