name_species,family,habitat<500m,status,littoral,El_Hierro,La_Palma,La_Gomera,Tenerife,Gran_Canaria,Fuerteventura,Lanzarote,#islands,sindrome,thalassochory
Pulicaria_burchardii,Asteraceae,1,NS,presence,0,0,0,0,0,1,0,1,ANE,
Pulicaria_canariensis,Asteraceae,1,End,presence,0,0,0,0,0,1,1,2,ANE,
Urospermum_picroides,Asteraceae,1,NO,,1,1,1,1,1,1,1,7,ANE,
Vieria_laevigata,Asteraceae,1,End,,0,0,0,1,0,0,0,1,ANE,
Volutaria_bollei,Asteraceae,1,End,,0,0,0,0,0,1,1,2,ANE,
Volutaria_canariensis,Asteraceae,1,End,,1,1,1,1,1,1,1,7,ANE,
Apollonias_barbujana,Lauraceae,1,NS,,1,1,1,1,1,1,0,6,END,
Arbutus_canariensis,Ericaceae,1,End,,1,1,1,1,1,0,0,5,END,
Asparagus_arborescens,Convallariaceae,1,End,,1,1,1,1,1,1,1,7,END,
Asparagus_horridus,Convallariaceae,1,NS,,0,0,0,0,0,1,1,2,END,
Asparagus_nesiotes,Convallariaceae,1,NS,,0,0,0,0,0,1,1,2,END,
Asparagus_pastorianus,Convallariaceae,1,NS,,0,0,1,1,1,1,1,5,END,
Asparagus_scoparius,Convallariaceae,1,NS,,1,1,1,1,1,1,0,6,END,
Asparagus_umbellatus,Convallariaceae,1,NS,,1,1,1,1,1,1,0,6,END,
Bencomia_caudata,Rosaceae,1,NS,,0,1,0,1,1,0,0,3,END,
Bosea_yervamora,Amaranthaceae,1,End,,1,1,1,1,1,1,0,6,END,
Bryonia_verrucosa,Cucurbitaceae,1,End,,1,1,1,1,1,0,1,6,END,
Rumex_bipinnatus,Polygonaceae,1,NP,presence,0,0,0,0,0,1,1,2,ANE,
Cytinus_hypocistis,Rafflesiaceae,1,NP,,1,1,1,1,1,0,0,5,END,
Daphne_gnidium,Thymelaeaceae,1,NS,,0,1,0,1,1,0,0,3,END,
Dracunculus_canariensis,Araceae,1,End,,1,1,1,1,1,1,0,6,END,
Ilex_canariensis,Aquifoliaceae,1,NS,,1,1,1,1,1,0,0,5,END,
Jasminum_odoratissimum,Oleaceae,1,NS,,1,1,1,1,1,1,0,6,END,
Kunkeliella_psilotoclada,Santalaceae,1,End,,0,0,0,1,0,0,0,1,END,
Salsola_divaricata,Chenopodiaceae,1,End,presence,0,1,1,1,1,1,1,6,ANE,
Lycium_intricatum,Solanaceae,1,NS,,0,1,1,1,1,1,1,6,END,
Morella_faya,Myricaceae,1,NS,,1,1,1,1,1,1,1,7,END,
Neochamaelea_pulverulenta,Cneoraceae,1,End,,1,0,1,1,1,0,0,4,END,
Osyris_lanceolata,Santalaceae,1,NS,,0,1,1,1,0,0,0,3,END,
Persea_indica,Lauraceae,1,NS,,1,1,1,1,1,0,0,5,END,
Phoenix_canariensis,Arecaceae,1,End,,1,1,1,1,1,1,1,7,END,
Pistacia_atlantica,Anacardiaceae,1,NS,,0,1,1,1,1,1,0,5,END,
Plocama_pendula,Rubiaceae,1,End,,1,1,1,1,1,1,0,6,END,
Rhamnus_crenulata,Rhamnaceae,1,End,,1,1,1,1,1,1,1,7,END,
Rhamnus_glandulosa,Rhamnaceae,1,NS,,0,1,1,1,1,0,0,4,END,
Rhus_coriaria,Anacardiaceae,1,NS,,1,1,1,1,1,0,0,5,END,
Rubia_fruticosa,Rubiaceae,1,NS,,1,1,1,1,1,1,1,7,END,
Rubia_peregrina,Rubiaceae,1,NS,,1,1,1,1,1,1,1,7,END,
Rubus_bollei,Rosaceae,1,NS,,1,1,1,1,1,1,0,6,END,
Rubus_ulmifolius,Rosaceae,1,NO,,1,1,1,1,1,1,0,6,END,
Sambucus_nigra,Sambucaceae,1,NS,,0,1,1,1,1,0,0,4,END,
Smilax_aspera,Smilacaceae,1,NS,,1,1,1,1,1,1,0,6,END,
Solanum_alatum,Solanaceae,1,NO,,1,0,0,1,1,0,1,4,END,
Solanum_lidii,Solanaceae,1,End,,0,0,0,0,1,0,0,1,END,
Viburnum_rigidum,Sambucaceae,1,End,,1,1,1,1,1,0,0,5,END,
Visnea_mocanera,Theaceae,1,NS,,1,1,1,1,1,1,0,6,END,
Withania_aristata,Solanaceae,1,NS,,1,1,1,1,1,0,0,5,END,
Agrimonia_eupatoria,Rosaceae,1,NO,,0,0,0,1,0,0,0,1,EPI,
Anthoxanthum_aristatum,Poaceae,1,NO,,1,1,1,1,1,1,1,7,EPI,
Aristida_adscensionis,Poaceae,1,NS,,1,1,1,1,1,1,1,7,EPI,
Salsola_tetrandra,Chenopodiaceae,1,NS,presence,0,0,0,0,0,1,1,2,ANE,
Avena_canariensis,Poaceae,1,End,,0,0,0,1,0,1,1,3,EPI,
