Family,name_species,littoral,UNS,END,EPI,THA,ANE,Shaeffer_SDD_syndrome,SMR,SMG,TER,GRA,SJG,PIC,FAI,FLO,COR
Potamogetonaceae,Potamogeton_pusillus,,1,,,,,epizoochorous,1,1,0,1,1,0,0,1,0
Rosaceae,Potentilla_erecta,,1,,,,,epizoochorous,0,1,1,0,1,1,1,1,1
Rosaceae,Prunus_lusitanica,,,1,,,,endozoochorous,0,1,1,0,1,1,1,1,0
Linaceae,Radiola_linoides,,0.5,,0.5,,,anemochorous,1,0,0,0,0,0,0,0,0
Ranunculaceae,Ranunculus_cortusifolius,,1,,,,,epizoochorous,0,1,1,0,1,1,1,1,1
Iridaceae,Romulea_columnae,,1,,,,,epizoochorous,1,1,1,0,0,0,0,0,0
Poaceae,Rostraria_azorica,,1,,,,,epizoochorous,1,0,0,0,0,0,0,0,0
Rubiaceae,Rubia_agostinhoi,,,1,,,,endozoochorous,0,1,1,1,1,1,1,1,1
Rosaceae,Rubus_hochstetterorum,,,1,,,,endozoochorous,1,1,1,0,1,1,1,1,1
Polygonaceae,Rumex_acetosella,,1,,,,,epizoochorous,1,1,1,1,1,1,1,1,1
Polygonaceae,Rumex_azoricus,,0.5,,,,0.5,anemochorous,0,1,1,0,1,0,1,0,1
Ruppiaceae,Ruppia_maritima,1,,,0.5,0.5,,hydrochorous,0,0,1,0,1,0,0,0,0
Caryophyllaceae,Sagina_maritima,1,0.5,,,0.5,,hydrochorous,1,1,1,1,1,1,1,1,1
Caryophyllaceae,Sagina_procumbens,,1,,,,,epizoochorous,1,1,1,1,1,1,1,1,1
Theophrastaceae,Samolus_valerandi,1,0.5,,,0.5,,epizoochorous,0,0,0,0,1,0,0,1,0
Apiaceae,Sanicula_azorica,,,,1,,,epizoochorous,1,1,1,0,1,1,1,0,0
Dipsacaceae,Scabiosa_nitens,,,,0.5,,0.5,epizoochorous,1,1,1,0,1,1,1,1,1
Orchidaceae,Serapias_cordigera,,0.5,,,,0.5,anemochorous,1,1,1,1,1,1,1,0,0
Scrophulariaceae,Sibthorpia_europaea,,1,,,,,hydrochorous,1,1,1,0,1,1,1,1,1
Caryophyllaceae,Silene_uniflora,1,0.5,,,0.5,,hydrochorous,0,1,1,0,1,1,1,1,1
Smilacaceae,Smilax_azorica,,,1,,,,endozoochorous,1,1,1,0,1,1,1,0,0
Asteraceae,Sonchus_asper,,,,,,1,anemochorous,1,1,1,1,1,1,1,1,1
Caryophyllaceae,Spergularia_azorica,1,0.5,,,0.5,,epizoochorous,1,1,1,1,1,1,1,1,1
Caryophyllaceae,Stellaria_alsine,,1,,,,,hydrochorous,0,0,0,0,0,1,0,1,0
Asteraceae,Taraxacum_maderense,,,,,,1,anemochorous,0,0,0,0,0,1,0,0,0
Lamiaceae,Thymus_caespititius,,1,,,,,epizoochorous,0,1,1,1,1,1,1,1,1
Asteraceae,Tolpis_azorica,,,,,,1,anemochorous,0,1,1,0,1,1,1,1,1
Asteraceae,Tolpis_succulenta,,,,,,1,anemochorous,1,1,1,1,1,1,1,1,1
Crassulaceae,Umbilicus_horizontalis,,1,,,,,anemochorous,1,1,1,1,1,1,1,1,1
Ericaceae,Vaccinium_cylindraceum,,,1,,,,endozoochorous,1,1,1,0,1,1,1,1,1
Plantaginaceae,Veronica_dabneyi,,1,,,,,hydrochorous,0,0,0,0,0,0,1,1,1
Adoxaceae,Viburnum_treleasei,,,1,,,,endozoochorous,1,1,1,0,1,1,1,1,1
Violaceae,Viola_palustris,,1,,,,,autochorous,0,0,0,0,1,1,1,1,0
