Family,Genus ,Species,habitats<500m,Sub-Origin,Taxon_Status,#Islands,Espanola,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzon,San_Cristobal,Santa_Cruz,Santa_Fe,Santiago,#Introductions,Fruit_type,UNS,END,EPI,THA,ANE,Used_for_the_AoB_paper,littoral
,Ceratophyllum,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,
Euphorbiaceae,Chamaesyce,abdita,1,En,1,4,1,,,1,,,,,,1,1,,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Chamaesyce,galapageia,1,En,1,6,,1,1,,1,,1,,,1,,1,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Chamaesyce,nummularia,1,En,1,9,1,,1,1,1,,1,,1,1,1,1,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Chamaesyce,viminea,1,En,1,10,,1,1,1,1,1,1,,1,1,1,1,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Chamaesyce,amplexicaulis,1,En,1,11,1,,1,1,1,1,1,1,1,1,1,1,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Chamaesyce,recurva,1,En,1,11,1,1,1,1,1,,1,1,1,1,1,1,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Chamaesyce,punctulata,1,En,1,11,1,1,1,,1,1,1,1,1,1,1,1,1,Capsule,1,0,0,0,0,,
Rubiaceae,Chiococca,alba,1,Id,1,10,1,1,1,,1,1,1,1,1,1,,1,1,Drupe,0,1,0,0,0,,
,Chloris,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,
Asteraceae,Chrysanthellum,pusillum,1,En,1,7,1,1,1,,1,,,,1,1,,1,1,Achene,1,0,0,0,0,,
Menispermaceae,Cissampelos,glaberrima,,Id,1,2,,,,,,,,,,1,,1,2,Drupe,0,0.5,0.5,0,0,,
Menispermaceae,Cissampelos,pareira,1,Id,1,8,,1,1,,1,,1,1,1,1,,1,2,Drupe,0,0.5,0.5,0,0,Two syndromes,
Vitaceae,Cissus,verticillata,1,Id,1,6,,1,1,,1,1,,,1,1,,,1,Berry,0,1,0,0,0,,
Verbenaceae,Clerodendrum,molle,1,Id,1,5,,,1,,1,,,,1,1,,1,,,0,0,0,1,0,,
Commelinaceae,Commelina,diffusa,1,Id,1,8,,1,1,,1,,1,1,1,1,,1,1,Capsule,1,0,0,0,0,,
Nyctaginaceae,Commicarpus,tuberosus,1,Id,1,8,1,,1,1,1,,,1,1,1,,1,1,Achene,0,0,0.5,0.5,0,Two syndromes,
Combretaceae,Conocarpus,erectus,1,Id,1,7,,1,,,1,1,1,,1,1,,1,1,Drupe-like,0,0,0,0.5,0.5,Two syndromes,exclusive
,Convolvulus,,,,,,,,,,,,,,,,,,,,,,,,,,
