Family,Genus ,Species,littoral,Used_for_the_AoB_paper,origin,Taxon_Status,#Islands,Espanola,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzon,San_Cristobal,Santa_Cruz,Santa_Fe,Santiago,Introductions,Fruit_type,UNS,END,EPI,THA,ANE,Used_for_the_AoB_paper,littoral
Orchidaceae,Cyclopogon,werffii,,,En,1,1,,,,,,,,,,1,,,,Capsule,0,0,0,0,1,,
Apiaceae,Cyclospermum,laciniatum,,,Id,1,6,,,1,,1,,1,,1,1,,1,,,1,0,0,0,0,,
Cyperaceae,Cyperus,laevigatus,presence,,Id,1,2,,,,,1,,,,,1,,,14,Achene,0.5,0,0,0.5,0,,presence
,Cyperus ,brevifolius,presence,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperaceae,Cyperus,distans,,,Id,1,3,,,1,,1,,,,,1,,,14,Achene,0.5,0,0,0.5,0,,
Cyperaceae,Cyperus,elegans,exclusive,,En,1,7,1,,1,1,,,,1,1,1,1,,14,Achene,0.5,0,0,0.5,0,,presence
Cyperaceae,Cyperus,anderssonii,,,En,1,12,1,1,1,1,1,1,1,1,1,1,1,1,14,Achene,0.5,0,0,0.5,0,,
Cyperaceae,Cyperus,virens,,,Id,1,4,,,,,1,,,,1,1,,1,14,Achene,0.5,0,0,0.5,0,,
Cyperaceae,Cyperus,grandifolius,,,En,1,3,,,1,,,,,,1,1,,,14,Achene,0.5,0,0,0.5,0,,
Cyperaceae,Cyperus,esculentus,presence,,Id,1,5,,,1,,1,,,,1,1,,1,14,Achene,0.5,0,0,0.5,0,,presence
Cyperaceae,Cyperus,ligularis,presence,,Id,1,6,,1,1,,1,1,1,,,1,,,14,Achene,0.5,0,0,0.5,0,,presence
Cyperaceae,Cyperus,squarrosus,,,Id,1,11,1,1,1,1,1,1,1,,1,1,1,1,14,Achene,0.5,0,0,0.5,0,,
Cyperaceae,Cyperus,confertus,,,Id,1,12,1,1,1,1,1,1,1,1,1,1,1,1,14,Achene,0.5,0,0,0.5,0,,
Fabaceae,Dalea,tenuicaulis,,,En,1,5,,,1,,1,,,,1,1,,1,1,Pod,1,0,0,0,0,,
Asteraceae,Erigeron,alternifolius,,,En,1,1,,,,,1,,,,,,,,,,0,0,0,0,1,,
Asteraceae,Darwiniothamnus,lancifolius,,,En,1,3,,1,,,1,,,,,1,,,,,0,0,0,0,1,,
Asteraceae,Darwiniothamnus,tenuifolius,,,En,1,4,,,1,,1,,,1,,1,,,,,0,0,0,0,1,,
Asteraceae,Delilia,inelegans,,,En,1,2,,,1,,,,,,,1,,,,,0,0,0,0,1,,
Asteraceae,Delilia,repens,,,En,1,5,,1,,,1,,1,,,1,,1,,,0.5,0,0.5,0,0,,
Mimosaceae,Desmanthus,virgatus,,,Id,1,7,1,,1,,1,,1,1,1,1,,,1,Pod,1,0,0,0,0,,
Fabaceae,Desmodium,procumbens,,,Id,1,12,1,1,1,1,1,1,1,1,1,1,1,1,4,Pod,0,0,1,0,0,,
Convolvulaceae,Dichondra,microcalyx,,,Id,1,7,,1,1,,1,,1,,1,1,,1,1,Capsule,1,0,0,0,0,,
Acanthaceae,Dicliptera,peruviana,,,Id,1,3,,1,,,1,,,,,,,1,1,Capsule,1,0,0,0,0,,
,Digitaria,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubiaceae,Diodia,radula,,,Id,1,6,,1,1,,1,,,,1,1,,1,,,0,0,0,1,0,,
Poaceae,Distichlis,spicata,,,Id,1,1,,,,,1,,,,,,,,1,Caryopside,1,0,0,0,0,,
Sapindaceae,Dodonaea,viscosa,,Two syndromes,En,1,3,,,,,1,,1,,1,,,,2,Capsule,0,0,0,0.5,0.5,Two syndromes,
Caryophyllaceae,Drymaria,monticola,,,En,1,2,,,,,,,,,,1,,1,3,Capsule,1,0,0,0,0,,
Caryophyllaceae,Drymaria,rotundifolia,,,Id,1,2,,1,,,1,,,,,,,,3,Capsule,1,0,0,0,0,,
Caryophyllaceae,Drymaria,cordata,,,Id,1,5,,,1,,1,,,,1,1,,1,3,Capsule,1,0,0,0,0,,
Verbenaceae,Duranta,erecta,,,Id,1,3,,,,,1,,,,1,1,,,3,Drupe-like,0,1,0,0,0,,
Verbenaceae,Duranta,dombeyana,,,Id,1,4,,1,1,,1,,,,1,,,,3,Drupe-like,0,1,0,0,0,,
Verbenaceae,Duranta,mutisii,,,Id,1,1,,,,,,,,1,,,,,3,Drupe-like,0,1,0,0,0,,
Asteraceae,Eclipta,prostrata,,,Id,1,5,,,1,,1,,,,1,1,,1,1,Achene,0,0,1,0,0,,
Cucurbitaceae,Elaterium,carthagenense,,,Id,1,3,,,,,1,,1,,,,,1,1,Capsule,1,0,0,0,0,,
Cyperaceae,Eleocharis,maculosa,,,Id,1,4,,,,,1,,,,1,1,,1,6,Achene,1,0,0,0,0,,
Cyperaceae,Eleocharis,mutata,,,Id,1,4,,,,,1,,,,1,1,,1,6,Achene,1,0,0,0,0,,
Cyperaceae,Eleocharis,atropurpurea,presence,,Id,1,3,,,,,1,,,,1,1,,,6,Achene,1,0,0,0,0,,presence
Cyperaceae,Eleocharis,acutangula,,,Id,1,4,,,1,,,,,,1,1,,1,6,Achene,1,0,0,0,0,,
Cyperaceae,Eleocharis,montana,,,Id,1,5,,,1,,1,,,,1,1,,1,6,Achene,1,0,0,0,0,,
Cyperaceae,Eleocharis,sellowiana,,,Id,1,5,,,1,,1,,,,1,1,,1,6,Achene,1,0,0,0,0,,
Asteraceae,Encelia,hispida,,,En,1,5,,,1,,1,,,,1,,1,1,1,Achene,0,0,1,0,0,,
Asteraceae,Enydra,sessilifolia,,,Id,1,2,,,,,,,,,1,1,,,1,Achene,1,0,0,0,0,,
Asteraceae,Enydra,maritima,,,Id,1,3,,,,,,,,,1,1,,1,1,Achene,1,0,0,0,0,,
Orchidaceae,Epidendrum,spicatum,,,En,1,6,,,1,,1,,1,,1,1,,1,1,Capsule,0,0,0,0,1,,
Poaceae,Eragrostis,pastoensis,,,Id,1,3,,1,,,,1,1,,,,,,4,Caryopside,0,0,0,0,0,,
Poaceae,Eragrostis,mexicana,,,Id,1,5,,1,,,1,1,1,,,1,,,4,Caryopside,0,0,0,0,0,,
Poaceae,Eragrostis,ciliaris,,,Id,1,12,1,1,1,1,1,1,1,1,1,1,1,1,4,Caryopside,1,0,0,0,0,,
Poaceae,Eriochloa,pacifica,,,Id,1,2,,,,,,,,,1,1,,,1,Caryopside,0,0,1,0,0,,
Fabaceae,Erythrina,velutina,,,Id,1,4,,,,1,1,,,,,1,,1,1,Pod,0,0,0,1,0,,
Orchidaceae,Erythrodes,weberiana,,,Id,1,1,,,,,,,1,,,,,,1,Capsule,0,0,0,0,1,,
Asteraceae,Eupatorium,pycnocephalum,,,In,1,1,,,,,,,,,,1,,,1,Achene,0,0,0,0,1,,
Asteraceae,Eupatorium,solidagioides,,,Id,1,1,,,,,1,,,,,,,,1,Achene,0,0,0,0,1,,
Euphorbiaceae,Euphorbia,parviflora,,,NoData,1,1,,,,,,,,,,1,,,1,Capsule,1,0,0,0,0,,
Convolvulaceae,Evolvulus,convolvuloides,,,Id,1,9,1,,1,,1,,1,1,1,1,1,1,2,Capsule,1,0,0,0,0,,
Convolvulaceae,Evolvulus,simplex,,,Id,1,9,1,,1,1,1,,,1,1,1,1,1,2,Capsule,1,0,0,0,0,,
Solanaceae,Exodeconus,miersii,,Two syndromes,Id,1,12,1,1,1,1,1,1,1,1,1,1,1,1,,,0,0.5,0,0.5,0,Two syndromes,
Cyperaceae,Fimbristylis,dichotoma,,,Id,1,8,1,,1,,1,1,,,1,1,1,1,,,1,0,0,0,0,,
Amaranthaceae,Froelichia,juncea,,,En,1,3,,,,,1,,,,,1,,1,1,Utricle,0,0,0,0,1,,
Amaranthaceae,Froelichia,nudicaulis,,,En,1,7,,1,1,,1,,,1,1,1,,1,1,Utricle,0,0,0,0,1,,
Malvaceae,Fuertesimalva,insularis,,,En,1,3,,1,,,1,,,,,1,,,,,1,0,0,0,0,,
Fabaceae,Galactia,striata,,,Id,1,10,1,1,1,,1,,1,1,1,1,1,1,2,Pod,1,0,0,0,0,,
Asteraceae,Galinsoga,gnidiifolia,,,Id,1,4,,1,1,,1,,,,,,,1,,,0,0,1,0,0,,
Rubiaceae,Galium,galapagoense,,,En,1,5,,,1,,1,,,,1,1,,1,2,Schizocarp ,0,0,1,0,0,,
Scrophulariaceae,Galvezia,leucantha,,,En,1,3,,1,,,1,,,,,,,1,1,Capsule,1,0,0,0,0,,
,Geofrea,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,
,Gnaphalium,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Malvaceae,Gossypium,klotzschianum,,Two syndromes,En,1,4,,,,,1,1,,,1,1,,,2,Capsule,0,0,0,0.5,0.5,Two syndromes,
Malvaceae,Gossypium,darwinii,,Two syndromes,En,1,10,1,1,1,,1,1,1,1,1,1,,1,2,Capsule,0,0,0,0.5,0.5,Two syndromes,
Orchidaceae,Govenia,utriculata,,,Id,1,2,,,,,,,1,,,1,,,1,Capsule,0,0,0,0,1,,
Solanaceae,Grabowskia,boerhaaviaefolia,presence,,Id,1,8,1,,1,,,,1,1,1,1,1,1,1,nutlet,0,1,0,0,0,,presence
Orchidaceae,Habenaria,distans,,,Id,1,2,,,,,1,,,,,1,,,3,Capsule,0,0,0,0,1,,
Orchidaceae,Habenaria,alata,,,Id,1,3,,1,,,1,,,,,,,1,3,Capsule,0,0,0,0,1,,
Orchidaceae,Habenaria,monorrhiza,,,Id,1,4,,,,,1,,,,1,1,,1,3,Capsule,0,0,0,0,1,,
Boraginaceae,Heliotropium,indicum,,,Id,1,3,,,1,,,,,,1,1,,,4,Nutlet,1,0,0,0.5,0,,
Boraginaceae,Heliotropium,anderssonii,,,En,1,1,,,,,,,,,,1,,,4,Nutlet,0,0,1,0,0,,
Boraginaceae,Heliotropium,curassavicum,exclusive,,Id,1,10,1,,1,1,1,1,1,1,1,1,,1,4,Nutlet,1,0,0,0,0,,exclusive
Boraginaceae,Heliotropium,angiospermum,,,Id,1,11,1,1,1,1,1,,1,1,1,1,1,1,4,Nutlet,1,0,0,0,0,,
Cyperaceae,Hemicarpha,micrantha,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvaceae,Herissantia,crispa,,,Id,1,6,,,1,,1,,1,,1,1,,1,1,Schizocarp ,1,0,0,0,0,,
Malvaceae,Hibiscus,diversifolius,,,Id,1,3,,,,,1,,,,1,1,,,1,Capsule,1,0,0,0,0,,
Malvaceae,Hibiscus,pernabucensis,exclusive,,Id,1,4,,,1,,1,,,,1,1,,,1,Capsule,0,0,0,1,0,,
Euphorbiaceae,Hippomane,mancinella,,Two syndromes,Id,1,5,,,1,,1,,,,1,1,,1,1,Drupe-like,0,0.5,0,0.5,0,Two syndromes,
Apiaceae,Hydrocotyle,umbellata,,,Id,1,3,,,,,1,,,,1,1,,,1,Schizocarp,1,0,0,0,0,,
Apiaceae,Hydrocotyle,galapagensis,,,En,1,1,,,,,,,,,1,,,,1,Schizocarp,1,0,0,0,0,,
Clusiaceae,Hypericum,pratense,,,Id,1,1,,,,,,,,,,1,,,1,Capsule,1,0,0,0,0,,
Clusiaceae,Hypericum,thesiifolium,,,Id,1,4,,,,,1,,,,1,1,,1,1,Capsule,1,0,0,0,0,,
Hypoxidaceae,Hypoxis,decumbens,,,Id,1,6,,,1,,1,,1,,1,1,,1,1,Capsule,1,0,0,0,0,,
Lamiaceae,Hyptis,gymnocaulos,,,En,1,1,,,,,1,,,,,,,,2,Nutlet,1,0,0,0,0,,
Lamiaceae,Hyptis,spicigera,,,Id,1,6,,1,1,,1,,,,1,1,,1,2,Nutlet,1,0,0,0,0,,
Gra,Ichnanthus,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Solanaceae,Iochroma,ellipticum,,,En,1,7,,1,1,,1,,,1,1,1,,1,,Berry,0,1,0,0,0,,
