Family,Genus ,Species,littoral,Used_for_the_AoB_paper,origin,Taxon_Status,#Islands,Espanola,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzon,San_Cristobal,Santa_Cruz,Santa_Fe,Santiago,Introductions,Fruit_type,UNS,END,EPI,THA,ANE,Used_for_the_AoB_paper,littoral
Poaceae,Uniola,pittieri,exclusive,,Id,1,2,,,,,,,,,1,1,,,1,Panicle,0,0,0,1,0,,
Urticaceae,Urera,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
Lentibulariaceae,Utricularia,foliosa,,,Id,1,1,,,,,,,,,1,,,,1,Capsule,1,0,0,0,0,,
Apocynaceae,Vallesia,glabra,,,En,8,7,1,,1,,1,,,1,1,1,,1,1,Drupe,0,1,0,0,0,,
linaceae,Verbena,grisea,,,En,1,1,,,,,,,,1,,,,,2,Schizocarp,0,0,1,0,0,,
Verbenaceae,Verbena,galapagosensis,,,En,1,1,,,,,,,,,,1,,,2,Schizocarp,0,0,1,0,0,,
Verbenaceae,Verbena,sedula,,,En,1,3,,,,,,,,,1,1,,1,2,Schizocarp,0,0,1,0,0,,
Verbenaceae,Verbena,townsendii,,,En,1,5,,1,,,1,,1,,1,1,,,2,Schizocarp,0,0,1,0,0,,
Verbenaceae,Verbena,glabrata,,,NoData,1,1,,,,,1,,,,,,,,2,Schizocarp,0,0,1,0,0,,
Verbenaceae ,Verbena,stewartii,,,NoData,1,2,,1,,,1,,,,,,,,2,Schizocarp,0,0,1,0,0,,
Fabaceae,Vigna,adenantha,,,Id,1,2,,,,,,,,,1,1,,,1,Pod,0.5,0,0,0.5,0,,
Fabaceae,Vigna,luteola,,,Id,1,6,,1,,,1,,1,,1,1,,1,1,Pod,0.5,0,0,0.5,0,,
Sterculiaceae,Waltheria,ovata,,,Id,1,11,1,1,1,1,1,1,1,,1,1,1,1,1,Capsule,1,0,0,0,0,,
Rutaceae,Zanthoxylum,fagara,,,Id,1,9,1,1,1,,1,,1,1,1,1,,1,1,follicle,0,1,0,0,0,,
Asteraceae,Zinnia,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Leguminosae,Zornia,,, ,,,,,,,,,,,,,,,,,,,,1,,, ,
