"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
1532.28107790041,1018.77421131109,1085.54722271071,2243.90300583425,1174.43746403266,1263.59095722854,1177.27955924532,1476.54338499131,336.266333422713,379.824554410752,0,875.208504496733,1858.80306921652,986.429952783875,318.042758526456,1419.87074656161,289.011137652114,1312.84744600852,1663.45275725303,2345.67226324894,1278.4164630076,3097.69928829632,2739.6276069354,3476.30384638338,3458.62600633125,3196.85789086654,4246.64933747034,3431.98860561453,3124.74157951528,4247.4644401509,3315.47346642377,3394.09040809878,3432.73721595227,3540.20777533879,3376.94174537872
1509.69853650234,725.893670217028,969.158252795675,1841.98243052072,741.143759171627,831.184175957638,742.575035669741,1016.39949559685,271.625912672172,668.576543279058,875.208504496733,0,1921.20964361477,1257.72366838726,1182.77802333144,2438.12803232505,1162.623637759,2208.66308977023,2583.4340809192,3270.13552562689,2235.80973549089,3975.52318545532,3699.31972427458,4339.72347028985,4415.55895713072,4242.14724026387,5236.70051353575,4283.5839403234,4017.52816211875,5171.90000901215,4142.72689480098,4221.5900343887,4265.06226490861,4405.71964364039,4212.94515316049
2079.51519058731,1700.33289603488,1624.76898493785,3283.57990482667,2173.70792766936,2491.4049084224,2254.69579582653,2504.43033004998,1324.84715409152,2033.01484495225,1858.80306921652,1921.20964361477,0,485.030761542476,1235.22326179951,1124.39510129178,2122.90070825953,942.961034737495,2616.34442880482,1625.63171589983,1113.21148723769,2596.86200920293,2713.65235151189,2888.09861159885,3213.75883044185,3357.25654908197,4472.51547688693,2747.82567393839,2640.62059676062,3765.36657407999,2781.55981673238,2636.26995460528,2653.10063034912,2821.74376702962,2660.81520049668
1777.23941078152,1131.85235373482,1167.175878639,2681.28741950994,1635.83607824472,2005.87826833847,1708.29947740483,1951.87850134573,704.398369843081,1480.93947751274,986.429952783875,1257.72366838726,485.030761542476,0,2427.87499587173,3014.77629699146,1414.44904981422,2064.46384799067,4052.50939726075,2896.38510424313,2714.84633743349,3388.21437816842,3724.49095865636,4168.91699791793,4064.96067440989,4226.58912205824,5212.00951088889,3446.17804150511,3419.5453294516,4531.42569508957,3502.70812203239,3355.8192008671,3448.66629964581,3593.08366017165,3365.94072575056
2231.18885783548,1108.15568433568,1469.33058230421,2324.92238504787,986.996158242627,1003.23687613146,900.404556981264,1322.88560537655,816.54484549685,315.338677787464,318.042758526456,1182.77802333144,1235.22326179951,2427.87499587173,0,657.812257012514,548.494632308123,712.23070901266,1000.26197210858,1701.04531299427,703.35487917389,2282.70055247565,1983.42656581409,2609.88520419194,2668.75183790248,2452.57556939821,3362.19680467223,2555.9833206458,2301.2709024998,3352.51207610373,2486.51986265462,2525.79981081415,2551.81817754794,2679.58357512112,2516.67446645661
3742.08814839601,2232.65636071413,2829.25985274599,3678.57733724775,1952.22113250498,1925.11699935078,1800.44996149353,2279.16311077081,1977.94939735063,1211.8347257169,1419.87074656161,2438.12803232505,1124.39510129178,3014.77629699146,657.812257012514,0,1784.67062199598,753.74543929561,1699.30890073587,2584.22204894752,1150.27463667022,2391.10908525834,2250.4765784362,2879.83805518905,2873.22357681474,2777.51178479887,3708.97752135237,2611.89987696813,2391.46048591239,3493.48043650985,2587.58743523285,2593.42750091153,2593.70825024285,2757.44931980715,2574.94857065719
1730.47334756722,1123.14572954262,1229.77757427602,2389.57043891215,1187.19565426995,1288.95073326988,1148.86439122797,1480.46239323332,553.053578637223,471.829757803289,289.011137652114,1162.623637759,2122.90070825953,1414.44904981422,548.494632308123,1784.67062199598,0,1694.65989114986,2151.15390162023,2815.45103106508,1698.72669678831,3618.18544176627,3243.17349885633,3956.23487250155,3939.80050048933,3742.32521642889,4786.05076853316,3952.64230120991,3666.45337158476,4784.09366880561,3785.66703226591,3921.09500670787,3918.3429099005,4041.89215756253,3870.55760634531
3212.14186618619,2069.20563104703,2554.38288307449,3438.19903949414,1905.65877203382,1800.90168955607,1763.81084167722,2240.30525661482,1915.39040133778,1178.44422353707,1312.84744600852,2208.66308977023,942.961034737495,2064.46384799067,712.23070901266,753.74543929561,1694.65989114986,0,2516.48327272219,825.403819542578,460.318334545963,1515.07400102211,1210.80807578128,1869.32608129125,1928.85750722763,1701.62376031876,2697.81982722465,1813.80763778659,1531.38473545106,2530.94643954068,1664.60194240545,1804.09266261637,1815.37946255531,1933.00796811352,1734.31878290993
4071.10816529331,2484.90640760849,3051.79136603532,3978.10560847401,2252.11101564066,2138.96906599086,2085.51530941693,2611.00965717902,2347.99286097664,1440.66740918356,1663.45275725303,2583.4340809192,2616.34442880482,4052.50939726075,1000.26197210858,1699.30890073587,2151.15390162023,2516.48327272219,0,637.711472804015,743.365460608295,1723.91220357788,1157.4805696355,1821.85063881303,1896.47983840939,1524.07129854228,2353.611340367,2094.1239674293,1733.1689778998,2651.64349982038,1922.27952282218,2165.81889853153,2113.95277869606,2215.35697899908,2079.62126645757
4064.72210340974,3188.05247486763,3867.32416186059,4724.17887647302,2906.38470980997,2784.52797588272,2746.86145483267,3265.00481718395,3089.87662494742,2061.72625791759,2345.67226324894,3270.13552562689,1625.63171589983,2896.38510424313,1701.04531299427,2584.22204894752,2815.45103106508,825.403819542578,637.711472804015,0,1909.68420141607,1272.80135264581,807.506180017812,1427.00179457196,1528.10479330754,1186.29892427983,2152.34263651282,1582.7972374936,1275.54598762485,2204.0096757552,1441.04836873089,1613.82709899553,1582.19194663346,1697.91087779652,1518.0377804346
3359.10295359887,2138.52356671511,2603.8097626696,3459.85311357476,1842.17636288807,1798.29960775809,1738.15166591305,2236.60199919189,1944.65989033293,1132.04570460155,1278.4164630076,2235.80973549089,1113.21148723769,2714.84633743349,703.35487917389,1150.27463667022,1698.72669678831,460.318334545963,743.365460608295,1909.68420141607,0,2099.31364253628,1837.04423896773,2547.91691740329,2544.80417857565,2303.96223420968,3265.85833130711,2419.34196333426,2114.87919967491,3187.4423500236,2257.38392596652,2391.65213503873,2418.44569863275,2527.55172388015,2349.73963093656
