"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"11",5852.18862826243,3161.5900772504,2644.00129613187,3340.16177433775,2046.49800745233,1693.51347647518,1354.97024910165,1685.03885894164,1335.78524455703,928.637023727687,0,1335.2683723414,1195.60562242935,1730.54977362224,1898.02547185529,1672.31384453526,2415.34527345691,1886.29042254226,1884.93580529468,2064.33883666427,3414.07411104141,6118.16811085757,4193.17229469016,5844.57406249101,4806.23270113832,6605.41895060149,6953.06019625678,6193.88289385714,6557.18444977613,6314.14881136664,7221.74307757063,6515.57301926817,6916.74289826899,6669.73190170608,5800.07367787097,1964.60112221851,2394.30417013504,4234.44157860506,5325.32459185847,3228.11973584152,5685.06771290818,5512.02737823593,6020.72090072467,4226.01555431448,5939.69550159336,4470.42163021218
"12",4794.56488012082,4414.91406890525,2888.41402340295,3931.57355751889,2311.90311842659,1770.11770043647,1879.69026233529,1875.34608068717,645.707370133923,1475.24421441238,1335.2683723414,0,1706.88702027987,2164.07926963234,2364.34173236049,2126.92364010166,2910.10192106006,2370.03030606153,2374.35342459506,2612.94781250691,3564.94393168298,6790.55053088954,4619.60293224443,6509.98237903024,5272.05463711763,6295.4375504381,7893.94869686605,6965.36176031592,7424.93850014519,7085.05773502145,7938.50963704532,7353.65257914341,7858.88203275178,7352.94050393831,6108.97336097632,1470.25313534175,2544.64360218758,4640.98469916824,5834.02113082191,2797.19887012788,5240.10940630976,5265.42910854819,5692.87601820105,3808.25266238627,5496.36191689014,4104.26578419106
"13",4156.75014918837,2535.61418636786,3277.55365216871,3316.55318899061,3041.09629962128,2121.07210620668,2417.20008964589,2623.89302856324,1580.26964139989,1302.21549132603,1195.60562242935,1706.88702027987,0,2513.1714286239,1241.9533613461,507.471390143715,3838.13530938889,1927.50636086469,1233.89299378184,2308.55778649631,3376.273710863,4170.24726755998,3920.07657447008,4108.8659285906,4682.05699951472,4867.69250809742,4739.48304954452,4197.77948442731,4477.39018971439,4281.71909732733,5161.36681397147,4582.4138169711,4763.78548127364,4936.33029508823,4863.94009516003,2214.46676573375,2573.83714137772,4075.56485854763,4837.95465430499,3587.04928265391,6024.08553292337,5546.3692318388,6237.19504712616,4571.15415125717,6284.01906239494,4818.73497395988
"14",5264.49584140883,3300.24812359904,4352.22932677692,3877.23669833287,4120.30081641544,3208.20828412828,3467.7683178388,3600.74650046239,2145.40833522232,1665.3176551644,1730.54977362224,2164.07926963234,2513.1714286239,0,508.248421786506,581.869748202867,4178.95998088561,2396.51741762544,1579.32918515181,3424.13131906647,3953.24554480879,5320.42147267635,4610.1447514746,5212.0371647299,5308.70486976717,5970.66335151377,5920.85784478963,5323.00315922569,5618.20241719329,5413.89727104935,6409.88426827734,5747.98506120581,5939.36022121062,6115.43206401549,5731.87604401739,2679.69951603904,3095.4729062394,4693.0890900801,5599.84776970308,3976.56218650272,6430.04984790384,6104.70088678386,6746.37623107681,4962.52270695438,6688.36771614607,5236.99150156062
"15",4936.48804451417,3264.55600798503,3944.96010577699,3959.85181435248,3703.11072774603,2880.59501477013,3086.34287852681,3347.19215829843,2283.97082832861,1902.32252033662,1898.02547185529,2364.34173236049,1241.9533613461,508.248421786506,0,864.439704394301,4488.75779983697,2274.14663120291,1410.13389235552,2918.01330625416,4031.45151582452,4909.33966858523,4583.49374112414,4841.06181219971,5331.57355529372,5408.93637232301,5417.64280911787,4876.95663744094,5123.02982028073,4967.82811920233,5962.6154848992,5312.2196810394,5453.34066154541,5736.27982281774,5608.52663809036,2852.79091874394,3211.10863474274,4721.7862948927,5513.89351890914,4151.98437650849,6578.02185917919,6134.09134703257,6815.4192109796,5124.57082215446,6840.81821384125,5371.34151065346
"16",5102.63919476411,3121.21905535777,4100.86081556889,3792.84829072269,3748.57222035585,2974.66949196254,2621.33832482445,3366.7269644833,2065.36291422072,1649.32638340984,1672.31384453526,2126.92364010166,507.471390143715,581.869748202867,864.439704394301,0,3395.29485601556,2001.53690104017,1451.39847429344,2586.84777120089,3863.73635294682,5148.77415865751,4529.49756524805,5054.19005498084,5232.74461075075,5772.24293698115,5727.10950632318,5135.92783029862,5411.5390791782,5232.04961919753,6256.22699778342,5558.12229676165,5746.99973379511,5964.25204904747,5619.06376827085,2633.80958628059,3007.28829834633,4619.91783503355,5501.60758932036,3965.22047447277,6427.91251781519,6067.83731686293,6723.39729491286,4966.66733790487,6679.21775504027,5231.34549631862
"17",2563.096111029,2864.11788647515,2088.62391586885,3416.4485108363,2016.54608879616,2113.39853081283,1927.18557360503,2325.73676131115,2701.63558343684,2666.95262080491,2415.34527345691,2910.10192106006,3838.13530938889,4178.95998088561,4488.75779983697,3395.29485601556,0,3942.38406147136,4327.85073872917,2379.01872754913,3240.8685803739,2293.94562047988,2899.45937346856,2279.62769606368,3871.90560770383,2277.74871160306,2375.48789633022,2091.12542140145,2066.86346209586,2244.12200208219,2597.04503900094,2513.30241439844,2479.19701263196,2638.81455067177,2692.41403018309,3304.9695653068,3137.34741065304,3263.70259330634,3224.78304198842,4814.27247062373,6902.71638503666,4955.40064111592,6040.52055981713,5537.84866877484,7192.99103006251,5332.47106486416
"18",3772.89786324712,2840.50770069267,2935.20103528739,3608.56329386523,2700.95259387091,2126.28725857103,2132.83733076822,2688.41881639623,2177.25031374172,2076.73368283015,1886.29042254226,2370.03030606153,1927.50636086469,2396.51741762544,2274.14663120291,2001.53690104017,3942.38406147136,0,803.679549095629,1129.40229208547,3606.99041134898,3727.00681056885,3837.99842592514,3667.43378274716,4650.46263329371,4387.45917966681,4283.30255112737,3744.52728318791,4023.63447812944,3827.76347311068,4583.80142722389,4116.54381307999,4325.81309071667,4355.42924353319,4509.99348775722,2878.32224060305,3059.87802044609,4065.25491703421,4579.61094256255,4310.70416057264,6838.64823928101,5836.99934847953,6676.93947487908,5306.244936755,7080.18911633375,5441.66937042371
"19",4130.72858194807,3011.58553121053,3349.83278147217,3882.50128172536,3119.39958551546,2369.9577221656,2501.1469918132,2937.39329453012,2204.53081387111,2040.9298668759,1884.93580529468,2374.35342459506,1233.89299378184,1579.32918515181,1410.13389235552,1451.39847429344,4327.85073872917,803.679549095629,0,1514.92304578162,3880.34340003362,3982.50553653179,4159.12279325311,3980.50134479337,4990.46359493748,4447.26012995575,4459.62655488266,3965.93087048578,4197.90883943145,4044.35630911018,4703.2326154548,4305.21800929802,4486.44055573345,4508.74767254962,4660.25059913485,2891.73735870389,3167.6084954443,4370.15634433149,4821.61561498638,4357.34537431538,6781.13967096135,5889.37972704407,6708.47356435894,5311.44295527071,7085.86242832024,5487.86407987613
"20",3379.92602034297,2801.51511768214,2657.1249821631,3770.23063290097,2513.70773635692,2030.26475770431,2114.9698396681,2554.85481757005,2407.1595790763,2305.12778027845,2064.33883666427,2612.94781250691,2308.55778649631,3424.13131906647,2918.01330625416,2586.84777120089,2379.01872754913,1129.40229208547,1514.92304578162,0,3674.877827162,3169.82692177287,3603.08613756638,3156.03794164266,4439.0484809196,3780.28325617467,3692.26286150116,3140.67443429315,3419.32077218933,3236.81743351524,4026.17193924789,3545.53996560578,3741.75900180555,3795.47566667553,4020.6665571026,3014.89898559949,3124.07905163295,3867.63732414377,4209.65943108664,4512.42894802688,6866.46232406332,5655.63945731408,6573.77346495446,5425.83752539918,7149.55064225458,5489.53668378633
