,SantaCruz_N,SantaCruz_S,SantaCruz_E,SantaCruz_W,SantaFe_N,SantaFe_S,SantaFe_E,SantaFe_W,Floreana_N,Floreana_S,Floreana_E,Floreana_W,Espanola_N,Espanola_S,Espanola_E,Espanola_W,SanCristobal_N,SanCristobal_S,SanCristobal_E,SanCristobal_W,Pinzon,Santiago_N,Santiago_S,Santiago_E,Santiago_W,Genovesa,Marchena_N,Marchena_S,Marchena_E,Marchena_W,Pinta_N,Pinta_S,Pinta_E,Pinta_W,Isabela_N,Isabela_S,Isabela_E1,Isabela_E2,Isabela_E3,Isabela_W1,Isabela_W2,Isabela_W3,Fernandina_N,Fernandina_S,Fernandina_E,Fernandina_W
Genovesa,740.5172848,,,,666.4948058,,,,1300.495536,,,,1177.353131,,,,717.6092063,,,,811.9878059,580.5173243,840.8520367,560.6947232,1092.146234,0,224.8551599,216.5346789,81.72076948,347.6749145,389.4613837,347.71017,350.7632685,478.1787319,598.883488,1466.870072,933.9083567,999.6338717,723.9678046,1851.800564,2205.842896,1167.812624,1430.125854,1914.426511,2397.935001,1436.945125
Marchena_N,537.9161132,,,,516.2956473,,,,1323.684884,,,,1031.67905,,,,391.2050083,,,,849.8004194,513.9576618,1249.222848,776.9611052,933.4979967,224.8551599,0,371.4336137,73.52575827,118.2365055,132.0913041,112.0329022,60.13226737,232.0574971,383.3762507,1787.151302,1257.658933,850.8757845,502.9408442,1542.88923,1750.070279,790.1643512,1058.144731,1450.34909,1858.618852,1078.48172
Marchena_S,,,,,,,,,,,,,,,,,,,,,,527.8617718,1336.95602,785.060775,920.4430101,216.5346789,371.4336137,0,77.5198934,76.67122733,441.6435043,164.9392779,344.3372643,233.5688228,328.5283523,1610.113588,1371.957318,965.3336219,556.3529375,1498.787131,1786.505257,793.7971967,1056.605407,1475.903605,1884.377064,1047.958555
Marchena_E,,,,,,,,,,,,,,,,,,,,,,337.3850627,1120.427524,465.0025398,885.4367343,81.72076948,73.52575827,77.5198934,0,292.5264819,230.4504614,206.9000921,202.1259104,334.4224463,533.7527341,1654.515215,1155.945264,946.9700085,549.3426284,1790.599902,2120.980396,1014.52847,1294.134499,1742.894948,2086.440387,1334.403783
Marchena_W,,,,,,,,,,,,,,,,,,,,,,435.1124765,1243.99401,566.7776558,904.3005926,347.6749145,118.2365055,76.67122733,292.5264819,0,330.0933637,69.34247938,234.6258092,180.8477484,509.4415743,1774.788675,1220.974957,839.8738434,612.5200358,1701.568453,1929.967211,939.8385429,1233.212185,1648.52852,1964.24068,1257.034411
Pinta_N,739.0442691,,,,752.623582,,,,1678.148306,,,,1305.028276,,,,694.4979507,,,,1113.649584,732.1559063,1498.687981,1025.785543,1077.372069,389.4613837,132.0913041,441.6435043,230.4504614,330.0933637,0,403.7702961,4.862468062,127.247871,617.7092656,2067.581634,1660.140526,1193.196353,827.1336241,1390.284468,1711.07084,790.576619,1116.149405,1462.935305,1817.776984,1060.416173
Pinta_S,,,,,,,,,,,,,,,,,,,,,,757.6919545,1409.497497,938.5305183,957.9866541,347.71017,112.0329022,164.9392779,206.9000921,69.34247938,403.7702961,0,19.87361396,66.41842531,415.3735964,2065.864653,1578.832351,1214.458355,646.5667874,1429.771117,1638.071413,790.352053,1018.610713,1388.719199,1752.511012,1037.901324
Pinta_E,,,,,,,,,,,,,,,,,,,,,,504.3877661,1303.029992,694.9525456,940.1739717,350.7632685,60.13226737,344.3372643,202.1259104,234.6258092,4.862468062,19.87361396,0,185.5049623,468.142579,1894.870636,1329.049232,939.1584084,522.8780157,1563.395767,1749.787695,868.6278806,1154.343808,1483.630365,1831.158859,1133.772672
Pinta_W,,,,,,,,,,,,,,,,,,,,,,648.7573324,1320.60796,749.8394336,987.7245452,478.1787319,232.0574971,233.5688228,334.4224463,180.8477484,127.247871,66.41842531,185.5049623,0,648.3581624,2138.25801,1481.52259,1149.049867,747.7550502,1682.935916,1976.720896,791.931839,1347.820143,1701.420743,2110.796819,1246.139302
Isabela_N,278.0440815,,,,348.7153078,,,,257.6693527,,,,516.5641013,,,,579.6399569,,,,185.5661303,376.1864752,598.401145,462.4197919,368.4516791,598.883488,383.3762507,328.5283523,533.7527341,509.4415743,617.7092656,415.3735964,468.142579,648.3581624,0,1285.832114,1234.430265,564.7445063,246.7465761,786.6508536,970.6878083,224.792893,433.7862479,723.9792469,1134.724806,425.0367922
